TRU,START_DATE,END_DATE,STATUS_DESCRIPTION,STREET_ACTIVITY,PREMISE_NO,STREET_NAME,BOROUGH,ZIP_CODE,FACILITY_AKA,FACILITY_TYPE,BIN,BLOCK,LOT,CROSS_STREET_ON,CROSS_STREET_BETWEEN,CROSS_STREET_AND,BUILDING_OWNER_NAME,CONTRACTOR_NAME,AIR_MONITOR_NAME,ENTIRE_FLOOR,FLOOR,SECTION,ACM_TYPE,ACM_AMOUNT,ACM_UNIT,ABATEMENT_TYPE,PROCEDURE_NAME,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA
TRU5617MN18,04/09/2018 12:00:00 AM,03/15/2019 12:00:00 AM,Submitted,No,35,East 76th Street,Manhattan,10021,The Carlyle Hotel,Commercial,1041797,01391,0021,,,,Hotel Carlyle Owners Corp.,Pal Environmental Safety Corp.,"H.A. Bader Consultants, Inc.",No,30th,Guestroom# 3005-3006,Flooring Paper,450,Square Feet,Removal,DEP Variance,40.774267,-73.963285,8,4,130,1013910021,Upper East Side-Carnegie Hill
TRU5814BK17,02/16/2018 12:00:00 AM,12/12/2018 12:00:00 AM,Submitted,No,18,MARLBOROUGH ROAD,Brooklyn,11226,P.S 249,School,3116438,05075,0001,,,,NYC School Construction Authority (NYCSCA),"Insaren, Inc.","J.C. Broderick & Associates, Inc.",No,SECOND,ROOM 210,RADIATOR INSULATION,48,Square Feet,Removal,DEP Variance,40.64971,-73.966046,14,40,506,3050750001,Flatbush
TRU5890BK17,01/05/2018 12:00:00 AM,12/27/2018 12:00:00 AM,Closed,No,432,Monroe Street,Brooklyn,11221,P.S. 44(K) @K044,School,3051540,01821,0001,,,,NYC School Construction Authority (NYCSCA),Citywide Environmental Services LLC,Airtek Environmental Corporation,No,3,Room 312,VAT/mastic,805,Square Feet,Removal,Interior Foam,40.686592,-73.940747,3,36,277,3018210001,Stuyvesant Heights
TRU5362MN18,02/26/2018 12:00:00 AM,02/15/2019 12:00:00 AM,Closed,No,9,East 75th Street,Manhattan,10021,,Residence,1041687,01390,0010,,,,9 East 75th Street LLC,"The Asbestos Contractor, Inc.",Livingspring Environmental Services Inc.,No,6,Hallway,Plaster,800,Square Feet,Removal,Full Containment,40.774157,-73.964993,8,4,130,1013900010,Upper East Side-Carnegie Hill
TRU5152MN18,01/31/2018 12:00:00 AM,01/22/2019 12:00:00 AM,Closed,No,165,West End Avenue,Manhattan,10023,,Residence,1070746,01179,7501,,,,Mark and Rebecca Gonsalves,"Jabco Contracting, Inc.",IPR Associate & Environmental Incorporated,No,11,"APT 11B, LIVINGROOM",FLOORING,45,Square Feet,Removal,Interior Foam,40.777093,-73.986467,7,6,155,1011797501,Lincoln Square
TRU5253BK18,02/28/2018 12:00:00 AM,02/15/2019 12:00:00 AM,Postponed,No,150,55TH STREET,Brooklyn,11220,,Hospital,3014856,00828,0001,,,,NYU HOSPITALS CENTER,PAR Environmental Corporation,"Environmental Planning & Management, Inc.",No,5,"PATIENT ROOMS 5914, 5916, 5918, 5920, 5922",ACM FIRE DOOR,210,Square Feet,Removal,DEP Variance,40.646941,-74.02093,7,38,22,3008280001,Sunset Park West
TRU6319MN17,01/05/2018 12:00:00 AM,12/28/2018 12:00:00 AM,Closed,No,400,East 57th Street,Manhattan,10022,,Residence,1040466,01368,0001,,,,400 E57 Fee Owner LLC,Alert Action Contracting Inc.,Lawrence Env LLC,No,17th,Apt. 17I - Bathroom,Pipe Insulation,20,Linear Feet,Removal,Tent,40.75816,-73.962594,6,5,10601,1013680001,Turtle Bay-East Midtown
TRU5061MN18,01/23/2018 12:00:00 AM,01/10/2019 12:00:00 AM,Postponed,No,37,West 43rd Street,Manhattan,10036,,Commercial,1034205,01259,7501,,,,"BB Retail, LLC  c/o Philips International",Pal Environmental Safety Corp.,"GCI Environmental Advisory, Inc.",No,Mezzanine,South Side,Duct Seam Insulation,50,Square Feet,Removal,Tent,40.754717,-73.981704,5,4,96,1012597501,Midtown-Midtown South
TRU5005QN18,05/31/2018 12:00:00 AM,01/02/2019 12:00:00 AM,Submitted,No,47-15,48th Street,Queens,11377,Building # 13,Residence,4432162,02286,0011,,,,"Cosmopolitan Associates III, LLC c/o Douglas Ellim",Abatek Corp.,Athenica Environmental Services Inc.,No,roof,bulkheads,bulkheads wall tar,800,Square Feet,Removal,Exterior Vertical Surface,40.74048,-73.917326,2,26,235,4022860011,Hunters Point-Sunnyside-West Maspeth
TRU5272BK18,03/05/2018 12:00:00 AM,02/20/2019 12:00:00 AM,Closed,No,95,Bergen Street,Brooklyn,11201,,Residence,3001290,00194,0061,,,,95 Bergen St. Realty Corp. c/o Jonathan Holman,"Branch Restoration, Inc.","JLC Environmental Consultants, Inc.",No,Roof,East Wall,Bulkhead,31,Square Feet,Removal,Exterior Vertical Surface,40.686407,-73.989626,2,33,43,3001940061,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
TRU6252MN17,12/28/2017 12:00:00 AM,12/18/2018 12:00:00 AM,Closed,No,119,9th Avenue,Manhattan,10011,Fulton Houses. Bld. #7 - CC Contract GR1601290,Residence,1078418,00715,0010,,,,New York City Housing Authority (NYCHA),Gem-Quality Corporation,Enviro-Probe Inc.,No,1st,Library,Ceiling Acoustical Plaster,61,Square Feet,Removal,Full Containment,40.743172,-74.00376,4,3,83,1007150010,Hudson Yards-Chelsea-Flatiron-Union Square
TRU5112BX18,03/02/2018 12:00:00 AM,02/06/2019 12:00:00 AM,Submitted,No,10-10,HAZEN STREET,Bronx,11370,Eric M. Taylor Center,Other,2116651,02605,0040,,,,NYC Dept of Corrections (NYCDOC),"B&N&K. Restoration Co., Inc",KAM Consultants Corporation,No,Basement,PRINT SHOP STORAGE AREA,9'x 9' VAT floor tiles,1000,Square Feet,Removal,Interior Foam,40.788902,-73.884411,1,22,1,2026050040,Rikers Island
TRU5617MN18,04/09/2018 12:00:00 AM,03/15/2019 12:00:00 AM,Submitted,No,35,East 76th Street,Manhattan,10021,The Carlyle Hotel,Commercial,1041797,01391,0021,,,,Hotel Carlyle Owners Corp.,Pal Environmental Safety Corp.,"H.A. Bader Consultants, Inc.",No,30th,Guestroom #3001,Pipe Insulation,60,Linear Feet,Removal,DEP Variance,40.774267,-73.963285,8,4,130,1013910021,Upper East Side-Carnegie Hill
TRU5233QN18,04/02/2018 12:00:00 AM,03/18/2019 12:00:00 AM,Submitted,No,25-11,49th Avenue,Queens,11101,,Other,4000746,00100,0012,,,,"Maple 49th Avenue Owner II, LLC","Alba Environmental, Inc.",Airtek Environmental Corporation,No,Roof,1st Floor.Sectioned Off Roof # 2 Bulkhead.,Roof Membrane and Flashing Material,160,Square Feet,Removal,Exterior Foam,40.74153,-73.944033,2,26,1,4001000012,Hunters Point-Sunnyside-West Maspeth
TRU5814BK17,02/16/2018 12:00:00 AM,12/12/2018 12:00:00 AM,Submitted,No,18,MARLBOROUGH ROAD,Brooklyn,11226,P.S 249,School,3116438,05075,0001,,,,NYC School Construction Authority (NYCSCA),"Insaren, Inc.","J.C. Broderick & Associates, Inc.",No,SECOND,BOYS TOILET 211,PIPE INSULATION,30,Linear Feet,Removal,DEP Variance,40.64971,-73.966046,14,40,506,3050750001,Flatbush
TRU6312MN17,01/09/2018 12:00:00 AM,12/27/2018 12:00:00 AM,Closed,No,308,WEST 4th. STREET,Manhattan,10014,,Residence,1011386,00624,0051,,,,Michal Petrzela,M.A.B. Renovation Group Corp.,Golden Eco Services Inc.,No,ROOF,East Side Wall,Tar on Brick,132,Square Feet,Removal,Exterior Vertical Surface,40.737163,-74.003792,2,3,77,1006240051,West Village
TRU5510QN17,01/06/2018 12:00:00 AM,12/27/2018 12:00:00 AM,Submitted,No,90-20,191 STREET,Queens,11423,,School,4438804,10446,0020,,,,NYC MUSLIM CENTER,"Pioneer General Construction Co., LLC",M2M Environmental Services Corp,No,ground,gym & adjecent rooms,pipe & fitting insulation,340,Linear Feet,Removal,DEP Variance,40.713355,-73.769353,12,23,482,4104460020,Hollis
TRU6282MN17,01/03/2018 12:00:00 AM,12/21/2018 12:00:00 AM,Submitted,No,60,East 9th Street,Manhattan,10003,,Commercial,1009092,00560,7503,,,,60E 9St. Condominium c/o RoseTerraManagement LLC,SkyLine Environmental Corp.,Langan Engineering Environmental Surveying and Lan,No,4 Fl,Apt 403,Electrical Wire Insulation,133,Linear Feet,Removal,Full Containment,40.731476,-73.992679,2,2,59,1005607503,West Village
TRU5837BK17,01/30/2018 12:00:00 AM,12/14/2018 12:00:00 AM,Postponed,No,4,Auburn Place,Brooklyn,11205,"Whitman, Bld. #15 Contract BW1505369",,3335247,02040,0001,,,,New York City Housing Authority (NYCHA),APS Contractors Inc.,"Warren & Panzer, Engineers, P.C",No,6,Exterior Faade  Elevation #1 - 29,Tar / Flashing at Spandrel Beam,1326,Square Feet,Removal,Exterior Vertical Surface,40.694261,-73.97784,2,35,2901,3020400001,Fort Greene
TRU5144MN18,01/20/2018 12:00:00 AM,01/21/2019 12:00:00 AM,Closed,No,801,East 14 Street,Manhattan,10009,East 13 Street Substation,Commercial,1022553,00988,0001,,,,"Consolidated Edison   Company of NY, Inc.",C.K.&B. Environmental Incorporated,Omega Environmental Services Inc.,No,West Yard,Ground,ACM Debris,2000,Square Feet,Cleanup,Emergency Cleanup,40.727353,-73.973106,6,4,44,1009880001,Stuyvesant Town-Cooper Village
TRU5150QN18,03/05/2018 12:00:00 AM,02/21/2019 12:00:00 AM,Closed,No,72-22,68th Street,Queens,11385,,Residence,4090312,03702,0033,,,,Fr. Francis J. Hughes,"The Asbestos Contractor, Inc.",Advanced Environmental Corp.,No,Basment,Church Boiler Room,breeching,34,Square Feet,Removal,Tent,40.701294,-73.884003,5,30,629,4037020033,Glendale
TRU5078BK18,02/16/2018 12:00:00 AM,01/17/2019 12:00:00 AM,Submitted,No,1600,Rockaway Parkway,Brooklyn,11236,HS for Medical Professions(K500),School,3230949,08222,0001,,,,NYC School Construction Authority (NYCSCA),"Abatech Industries, Inc.","Environmental Management Solutions Of New York, In",No,2,By Fan Room and Mechanical Room,Pipe Insulation/Pipe Joints,100,Linear Feet,Removal,Tent,40.641474,-73.898254,18,46,990,3082220001,Canarsie
TRU6222MN17,12/22/2017 12:00:00 AM,12/13/2018 12:00:00 AM,Submitted,No,131,Avenue of the Americas,Manhattan,10013,M615,School,1007378,00491,0016,,,,NYC School Construction Authority (NYCSCA),ABC Construction Contracting Inc.,Airtek Environmental Corporation,No,4th Floor,Room #405,Wall Plaster,8,Square Feet,Removal,Tent,40.7244,-74.004625,2,3,37,1004910016,SoHo-TriBeCa-Civic Center-Little Italy
TRU5674MN18,04/02/2018 12:00:00 AM,03/22/2019 12:00:00 AM,Submitted,No,149,Spring St,Manhattan,10012,,Residence,1007720,00501,0035,,,,JL Management,Tristate Cleaning Solutions Inc.,"Environmental Management Services, Inc.",Yes,Roof,,Field Roof,1625,Square Feet,Removal,Exterior Foam,40.724332,-74.001454,2,1,49,1005010035,SoHo-TriBeCa-Civic Center-Little Italy
TRU5147MN18,01/30/2018 12:00:00 AM,01/22/2019 12:00:00 AM,Closed,No,435,East 52nd Street,Manhattan,10022,,Commercial,1040155,01364,0022,,,,"River House Realty Co., Inc",AGG Environmental Corp.,Creative Environment Solutions Corporation,No,Cellar,Ballroom storage room,Pipe insulation,20,Linear Feet,Removal,Tent,40.754763,-73.964361,6,4,8603,1013640022,Turtle Bay-East Midtown
TRU5505BK18,05/01/2018 12:00:00 AM,03/29/2019 12:00:00 AM,Submitted,No,700,Euclid Avenue,Brooklyn,11208,"NYCHA Cypress Hills, Bld. #11 (RF1629148)",Residence,3337053,04292,0061,,,,New York City Housing Authority (NYCHA),"Vestar, Inc.",Genesis Environmental Consultants Inc.,No,Roof,Stairhall Bulkhead,Bricks Contaminated with ACM Tar / Flashing,144,Square Feet,Removal,Exterior Vertical Surface,40.669745,-73.870558,5,42,1210,3042920061,East New York
TRU5283MN18,04/30/2018 12:00:00 AM,02/07/2019 12:00:00 AM,Postponed,No,442,East 105 Street,Manhattan,10029,East River Houses Bldg#8 GR1429265,Residence,1083950,01696,0001,,,,New York City Housing Authority (NYCHA),"Atco Contracting Group, Inc.",Amiantos LLC,No,1st,Exterior Facade,Masonry Waterproofing for Conduit/ Gas Lines,14,Square Feet,Removal,Exterior Vertical Surface,40.788265,-73.938952,11,8,162,1016960001,East Harlem South
TRU6229MN17,12/22/2017 12:00:00 AM,12/14/2018 12:00:00 AM,Submitted,No,40,Irving Place,Manhattan,10003,Washington Irving HS @ M460,School,1017828,00872,0057,,,,NYC School Construction Authority (NYCSCA),Adam's European Contracting inc.,New York Environmental & Material Testing,No,1st,"Original Building, Rooms (Line #61)",Pipe Insulation,120,Linear Feet,Removal,Tent,40.735494,-73.987659,6,2,50,1008720057,Gramercy
